set,source_file,message,final_label
train,airdata_logs.xlsx,Setting new Return-To-Home altitude to nnn (nnn).,489
train,airdata_logs.xlsx,Data Recorder File Index is nnn.,420
train,airdata_logs.xlsx,Setting new Maximum Flight Altitude to nnn (nnn).,305
train,airdata_logs.xlsx,Gimbal nnn pitch axis endpoint reached.,501
train,airdata_logs.xlsx,Your aircraft is flying in an Altitude Zone (nnn). Please fly with caution.,46
train,airdata_logs.xlsx,Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).,219
train,airdata_logs.xlsx,The remaining battery is only enough for RTH. Return home now.,86
train,airdata_logs.xlsx,Reaching maximum altitude.,503
train,airdata_logs.xlsx,Gimbal Recenter.,408
train,airdata_logs.xlsx,High Wind Velocity: Fly with caution and ensure the aircraft remains within your line of sight.,43
train,airdata_logs.xlsx,GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution.,473
train,airdata_logs.xlsx,Recenter Gimbal Pan.,407
train,airdata_logs.xlsx,Remote controller signal weak. Adjust remote controller antennas (Code: 80002).,484
train,airdata_logs.xlsx,Switched to S (Sport)-mode.,475
train,airdata_logs.xlsx,Remote ID functionality normal (Code: 1B080003).,197
train,airdata_logs.xlsx,Switched to T (Tripod)-mode.,413
train,airdata_logs.xlsx,Gimbal nnn pan axis endpoint reached.,501
train,airdata_logs.xlsx,Critical low battery. Return to home or land promptly.,332
train,airdata_logs.xlsx,Aircraft is returning to the Home Point. Minimum RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,74
train,airdata_logs.xlsx,Low battery. Return to home promptly (Code: 30183).,96
train,airdata_logs.xlsx,"Tip: Aircraft reached maximum distance, please pay attention to flight safety.",344
train,airdata_logs.xlsx,Aircraft in Altitude Zone (nnn). Fly with caution (Code: 190001).,46
train,airdata_logs.xlsx,Home Point updated. RTH altitude adjusted to nnn (Code: 3000001).,69
train,airdata_logs.xlsx,Flight altitude exceeds nnn. Aircraft may be in violation of local laws and regulations. Check and make sure you have obtained proper authorization to fly in this airspace (Code: 3000006).,185
train,airdata_logs.xlsx,Weak signal. Adjust antennas (Code: 80016).,18
train,airdata_logs.xlsx,Remote ID functionality normal (Code: 30331).,197
train,airdata_logs.xlsx,Motor is Blocked.,401
train,airdata_logs.xlsx,Aircraft battery level low. Return to home promptly (Code: 1B030014).,4
train,airdata_logs.xlsx,Downlink data connection lost for nnn seconds.,309
train,airdata_logs.xlsx,Switched to P (Positioning)-mode.,499
train,airdata_logs.xlsx,RTK signal weak. Move to an open area for takeoff or turn off RTK.,455
train,airdata_logs.xlsx,Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually (Code: 30149).,90
train,airdata_logs.xlsx,Aircraft antenna satellite signal searching error. Fly with caution (0x1610008f).,487
train,airdata_logs.xlsx,Obstacle Avoided. Revise Flight Route.,504
train,airdata_logs.xlsx,Home Point updated. RTH altitude adjusted to nnn (Code: 120852).,69
train,airdata_logs.xlsx,Not Enough Force/ESC Error.,479
train,airdata_logs.xlsx,Remote controller in high interference environment. Manually adjust flight route or return to home (Code: 80014).,26
train,airdata_logs.xlsx,Starting Smart Track.,431
train,airdata_logs.xlsx,"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes.",170
train,airdata_logs.xlsx,Aircraft in Attitude mode. Unable to hover. Fly with caution (Code: 30004).,443
train,airdata_logs.xlsx,Object too far for laser rangefinder.,179
train,airdata_logs.xlsx,"Braking now. Return sticks to midpoints, then continue flying.",7
train,airdata_logs.xlsx,Vision systems and obstacle avoidance disabled (Code: 180059).,380
train,airdata_logs.xlsx,Manned aircraft detected nearby. Fly with caution (Code: 30179).,433
train,airdata_logs.xlsx,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC6).,114
train,airdata_logs.xlsx,Vision sensor(s) blocked. Fly with caution (Code: 180038).,346
train,airdata_logs.xlsx,No SD card. Insert card (Code: 10022).,296
train,airdata_logs.xlsx,Critical low battery. Aircraft landing automatically (Code: 30033).,23
train,airdata_logs.xlsx,High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution (Code: 30238).,55
train,airdata_logs.xlsx,Object too close to laser rangefinder.,179
train,airdata_logs.xlsx,Low battery. Return to home promptly (Code: 120732).,96
train,airdata_logs.xlsx,Obstacle Avoidance will be disabled in landing.,444
train,airdata_logs.xlsx,Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,505
train,airdata_logs.xlsx,Taking off.,162
train,airdata_logs.xlsx,Propeller Fell Off.,329
train,airdata_logs.xlsx,Altitude above the takeoff point exceeds nnn. Always fly in compliance with altitude limitations.,412
train,airdata_logs.xlsx,Critical Low Battery (Code: 30032).,80
train,airdata_logs.xlsx,Home Point updated (Code: 120852).,456
train,airdata_logs.xlsx,Switched to A (Attitude)-mode.,481
train,airdata_logs.xlsx,The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting (Code: 40022).,483
train,airdata_logs.xlsx,Compass Error.,62
train,airdata_logs.xlsx,Critical low battery. Aircraft returning to home (Code: 30184).,4
train,airdata_logs.xlsx,Maximum Flight Altitude Reached. Adjust altitude in MC Settings if required.,15
train,airdata_logs.xlsx,Image transmission signal lost (Code: 80001).,317
train,airdata_logs.xlsx,Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution (Code: 1A420BC0).,114
train,airdata_logs.xlsx,"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",486
train,airdata_logs.xlsx,Critically low power. Aircraft is landing.,118
train,airdata_logs.xlsx,Upward Obstacle Detected.,463
train,airdata_logs.xlsx,Aircraft flight control obtained by remote controller B.,68
train,airdata_logs.xlsx,Landing Gear Raised.,124
train,airdata_logs.xlsx,High wind velocity. Fly with caution and land in a safe place ASAP.,108
train,airdata_logs.xlsx,Aircraft in Altitude Zone (Altitude limit: nnn). Fly with caution (Code: 190012).,46
train,airdata_logs.xlsx,GPS signal weak. Hovering unstable. Fly with caution (Code: 30002).,458
train,airdata_logs.xlsx,Landing Gear Lowering.,146
train,airdata_logs.xlsx,Weak GPS signal. Positional accuracy may be compromised. Please fly with caution.,64
train,airdata_logs.xlsx,Landing gear lowered. Obstacle Avoidance Disabled.,89
train,airdata_logs.xlsx,Aircraft in high interference environment. Manually adjust flight route or return to home (Code: 80015).,26
train,airdata_logs.xlsx,Extended flight distance detected. Always maintain visual line of sight unless otherwise authorized.,471
train,airdata_logs.xlsx,Landing Gear Raising.,124
train,airdata_logs.xlsx,Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying.,139
train,airdata_logs.xlsx,Precision Landing. Correcting Landing Position.,47
train,airdata_logs.xlsx,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,158
train,airdata_logs.xlsx,Motor unable to rotate. Check motor (Code: 30142).,453
train,airdata_logs.xlsx,Exiting GPS mode: Unknown Error.,495
train,airdata_logs.xlsx,Forward Obstacle Sensing is not functioning. Ambient Light is too weak.,5
train,airdata_logs.xlsx,Compass interference. Please move the aircraft away from potential interference source or calibrate the compass.,238
train,airdata_logs.xlsx,Tap the screen to focus.,81
train,airdata_logs.xlsx,Video cache has stopped because there is not enough storage space. You can enable Auto Cache Clear or manually delete cache to get enough space.,203
train,airdata_logs.xlsx,Critical low battery. Unable to take off. Recharge promptly (Code: 30032).,414
train,airdata_logs.xlsx,Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.,252
train,airdata_logs.xlsx,Altitude Zone nnn.,377
train,airdata_logs.xlsx,Auxiliary Bottom Light turned off.,502
train,airdata_logs.xlsx,Warning: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary.,15
train,airdata_logs.xlsx,Auxiliary Bottom Light turned on.,502
train,airdata_logs.xlsx,Backward Obstacle Sensing is not functioning. Ambient Light is too weak.,5
train,airdata_logs.xlsx,Signal Lost. Aircraft returning to Home Point.,348
train,airdata_logs.xlsx,Barometer Dead in Air.,283
